slot,standard,steward,status,what_we_take,adoption_evidence,url
Clause and document vocabulary,SALI LMSS,SALI Alliance,adopt,"IRIs for document types, clause components, player roles; family registry carries matching IRIs","Thomson Reuters, LexisNexis, NetDocuments, iManage; DLA Piper, Clifford Chance; Microsoft, Intel legal departments",https://sali.org
Transaction documents,UBL (ISO/IEC 19845),OASIS / ISO,adopt,"Order, order response, despatch advice, invoice shapes; DocumentReference carries placed-under",Peppol network; EU e-invoicing mandates; shipped by major ERPs,https://docs.oasis-open.org/ubl/
Deal-point schemas,Concerto (Accord Project),Linux Foundation,adopt,Typed models of expected terms per family; extraction targets that validate structurally,"DocuSign Iris maps extractions to Concerto models; supported by DocuSign, IBM",https://accordproject.org
Obligations,ODRL,W3C (Recommendation),adopt,"Duty, permission, prohibition shape with obligor, obligee, constraints",Catena-X policies; Dataspace Protocol; IDSA and Gaia-X specifications,https://www.w3.org/TR/odrl-model/
Standard-form NDA (O3),oneNDA,oneNDA / Claustack community,adopt_form,Canonical pre-contract node,"3,000+ organisations including Coca-Cola, UBS, Panasonic, Revolut; SteerCo incl. Airbus, Barclays, A&O, Freshfields, Linklaters",https://onenda.org
Lifecycle event pattern,FINOS CDM,"FINOS / Linux Foundation with ISDA, ICMA, ISLA",pattern,"Amendment, novation, termination as typed events producing new states","JPMorgan production use; BNP, BMO, RBC; JSCC first CCP in production",https://cdm.finos.org
Stable clause IDs,Akoma Ntoso eId convention,OASIS LegalDocML,pattern,Naming convention only: doc#cl_n identifiers and hierarchy plus cross-reference model,"European Parliament, EU institutions, UN system for legislative documents",https://docs.oasis-open.org/legaldocml/
Extraction benchmark,CUAD,Atticus Project,test_set,Validation set for clause extraction; not part of the standard,De facto benchmark across legal AI extraction research and vendor evals,https://www.atticusprojectai.org/cuad
Public sector adapter (C11),OCDS,Open Contracting Partnership,optional_adapter,Mapping for authority-side procurement data where relevant,50+ governments; G20 endorsed,https://standard.open-contracting.org
Negotiated-terms research,WorldCC most-negotiated terms,WorldCC,research_input,Priority order for which deal points each family model extracts first,Industry-standard annual study,https://www.worldcc.com
Entity identifiers,LEI (ISO 17442) + GLEIF relationship data,GLEIF,adopt,Entity identifier scheme; open parent-subsidiary graph,Regulatorily mandated in financial reporting; open data,https://www.gleif.org
Location and product identifiers,GS1 GLN and GTIN,GS1,adopt,Site and product identifier schemes,Global retail and logistics backbone,https://www.gs1.org
Product classification,UNSPSC or ETIM,GS1 US / ETIM International,adopt,Classification codes on product nodes,Widely used in distribution and e-procurement,https://www.unspsc.org
Reference data,"ISO 3166, 4217, 6523, 8000",ISO,adopt,"Countries, currencies, identifier scheme registry, master data quality",Universal,https://www.iso.org
Common commercial identifier,DUNS,Dun & Bradstreet,note,"Ubiquitous but proprietary; store as one identifier scheme among several, never the primary key",Universal in credit and supplier onboarding,https://www.dnb.com
Deontic logic,LegalRuleML,OASIS,dropped,Nothing; ODRL covers the need at our depth,Academic adoption only,https://docs.oasis-open.org/legalruleml/
Privacy vocabulary,DPV,W3C community group,dropped,Nothing; O6 facts typed in Concerto like all terms,"Community group output, no Recommendation status, no blue-chip adopters identified",https://w3c.github.io/dpv/
Fine-grained clause labels,LEDGAR,academic (LexGLUE),dropped,Nothing; SALI is the sole clause vocabulary,Academic dataset,https://aclanthology.org
Standard-form agreements,"Common Paper, Bonterms",Common Paper Inc / Bonterms,dropped,Design-pattern evidence only: cover page plus standard terms mirrors shared-node plus deal-points,"Real users, but startup-published forms rather than standards",https://commonpaper.com
